City;Area;Region;Branch;Branch Mapping;Validation
MANDAILING NATAL;AREA 1;01.SUMBAGUT;PADANG SIDEMPUAN;PADANG SIDEMPUAN;TRUE
MANGGARAI;AREA 3;10.BALI NUSRA;KUPANG;KUPANG;TRUE
MANGGARAI BARAT;AREA 3;10.BALI NUSRA;KUPANG;KUPANG;TRUE
MANGGARAI TIMUR;AREA 3;10.BALI NUSRA;KUPANG;KUPANG;TRUE
MANOKWARI;AREA 4;13.MALUKU DAN PAPUA;SORONG;SORONG;TRUE
MANOKWARI SELATAN;AREA 4;13.MALUKU DAN PAPUA;SORONG;SORONG;TRUE
MAROS;AREA 4;12.SULAWESI;MAKASSAR;MAKASSAR;TRUE
MELAWI;AREA 4;11.KALIMANTAN;PONTIANAK;PONTIANAK;TRUE
MELAYU;AREA 4;12.SULAWESI;KOTA MAKASSAR;#N/A;#N/A
MEMPAWAH;AREA 4;11.KALIMANTAN;PONTIANAK;PONTIANAK;TRUE
MERANGIN;AREA 1;03.SUMBAGSEL;JAMBI;JAMBI;TRUE
MERAUKE;AREA 4;13.MALUKU DAN PAPUA;TIMIKA;TIMIKA;TRUE
MESUJI;AREA 1;03.SUMBAGSEL;PALEMBANG;PALEMBANG;TRUE
MIMIKA;AREA 4;13.MALUKU DAN PAPUA;TIMIKA;TIMIKA;TRUE
MINAHASA;AREA 4;12.SULAWESI;MANADO;MANADO;TRUE
MINAHASA SELATAN;AREA 4;12.SULAWESI;MANADO;MANADO;TRUE
MINAHASA TENGGARA;AREA 4;12.SULAWESI;MANADO;MANADO;TRUE
MINAHASA UTARA;AREA 4;12.SULAWESI;MANADO;MANADO;TRUE
MOJOKERTO;AREA 3;09.JATIM;SIDOARJO;SIDOARJO;TRUE
MOROWALI;AREA 4;12.SULAWESI;PALU;PALU;TRUE
MOROWALI UTARA;AREA 4;12.SULAWESI;PALU;PALU;TRUE
MUARA ENIM;AREA 1;03.SUMBAGSEL;BENGKULU;BENGKULU;TRUE
MUARA ENIM;AREA 1;03.SUMBAGSEL;PALEMBANG;BENGKULU;FALSE
MUARO JAMBI;AREA 1;03.SUMBAGSEL;JAMBI;JAMBI;TRUE
MUKOMUKO;AREA 1;03.SUMBAGSEL;BENGKULU;BENGKULU;TRUE
MUNA;AREA 4;12.SULAWESI;KENDARI;KENDARI;TRUE
MUNA BARAT;AREA 4;12.SULAWESI;KENDARI;KENDARI;TRUE
MURUNG RAYA;AREA 4;11.KALIMANTAN;PALANGKARAYA;PALANGKARAYA;TRUE
MUSI BANYUASIN;AREA 1;03.SUMBAGSEL;PALEMBANG;PALEMBANG;TRUE
MUSI RAWAS;AREA 1;03.SUMBAGSEL;BENGKULU;BENGKULU;TRUE
MUSI RAWAS UTARA;AREA 1;03.SUMBAGSEL;BENGKULU;BENGKULU;TRUE
NABIRE;AREA 4;13.MALUKU DAN PAPUA;SORONG;SORONG;TRUE
NAGAN RAYA;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
NAGEKEO;AREA 3;10.BALI NUSRA;KUPANG;KUPANG;TRUE
NATUNA;AREA 1;02.SUMBAGTENG;BATAM;BATAM;TRUE
NGADA;AREA 3;10.BALI NUSRA;KUPANG;KUPANG;TRUE
NGANJUK;AREA 3;09.JATIM;MADIUN;MADIUN;TRUE
NGAWI;AREA 3;09.JATIM;LAMONGAN;LAMONGAN;TRUE
NIAS;AREA 1;01.SUMBAGUT;PADANG SIDEMPUAN;PADANG SIDEMPUAN;TRUE
NIAS BARAT;AREA 1;01.SUMBAGUT;PADANG SIDEMPUAN;PADANG SIDEMPUAN;TRUE
NIAS SELATAN;AREA 1;01.SUMBAGUT;PADANG SIDEMPUAN;PADANG SIDEMPUAN;TRUE
NIAS UTARA;AREA 1;01.SUMBAGUT;PADANG SIDEMPUAN;PADANG SIDEMPUAN;TRUE
NUNUKAN;AREA 4;11.KALIMANTAN;TARAKAN;TARAKAN;TRUE
OGAN ILIR;AREA 1;03.SUMBAGSEL;PALEMBANG;PALEMBANG;TRUE
OGAN KOMERING ILIR;AREA 1;03.SUMBAGSEL;PALEMBANG;PALEMBANG;TRUE
OGAN KOMERING ULU;AREA 1;03.SUMBAGSEL;PALEMBANG;PALEMBANG;TRUE
OGAN KOMERING ULU SELATAN;AREA 1;03.SUMBAGSEL;PALEMBANG;PALEMBANG;TRUE
OGAN KOMERING ULU TIMUR;AREA 1;03.SUMBAGSEL;PALEMBANG;PALEMBANG;TRUE
PACITAN;AREA 3;09.JATIM;MADIUN;MADIUN;TRUE
PADANG LAWAS;AREA 1;01.SUMBAGUT;PADANG SIDEMPUAN;PADANG SIDEMPUAN;TRUE
PADANG LAWAS UTARA;AREA 1;01.SUMBAGUT;PADANG SIDEMPUAN;PADANG SIDEMPUAN;TRUE
PADANG PARIAMAN;AREA 1;02.SUMBAGTENG;PADANG;PADANG;TRUE
PAKPAK BHARAT;AREA 1;01.SUMBAGUT;PEMATANG SIANTAR;PEMATANG SIANTAR;TRUE
PAMEKASAN;AREA 3;09.JATIM;SURABAYA;SURABAYA;TRUE
PANDEGLANG;AREA 2;05.WESTERN JABOTABEK;SERANG;SERANG;TRUE
PANGANDARAN;AREA 2;07.JABAR;TASIKMALAYA;TASIKMALAYA;TRUE
PANGKAJENE DAN KEPULAUAN;AREA 4;12.SULAWESI;MAKASSAR;MAKASSAR;TRUE
PARIGI MOUTONG;AREA 4;12.SULAWESI;PALU;PALU;TRUE
PASAMAN;AREA 1;02.SUMBAGTENG;PADANG;PADANG;TRUE
PASAMAN BARAT;AREA 1;02.SUMBAGTENG;PADANG;PADANG;TRUE
PASER;AREA 4;11.KALIMANTAN;BALIKPAPAN;BALIKPAPAN;TRUE
PASURUAN;AREA 3;09.JATIM;SIDOARJO;SIDOARJO;TRUE
